iter	Passed	Remaining
0	138	13720
1	157	7738
2	185	6012
3	213	5125
4	233	4442
5	259	4065
6	286	3800
7	312	3588
8	338	3420
9	365	3286
10	383	3102
11	410	3013
12	429	2876
13	457	2809
14	485	2753
15	513	2694
16	539	2635
17	568	2589
18	595	2537
19	624	2499
20	653	2458
21	682	2418
22	709	2375
23	737	2334
24	764	2294
25	792	2256
26	819	2216
27	847	2178
28	875	2143
29	902	2106
30	922	2053
31	953	2025
32	984	1999
33	1066	2069
34	1108	2058
35	1142	2030
36	1169	1991
37	1196	1952
38	1223	1913
39	1257	1885
40	1283	1847
41	1310	1809
42	1336	1771
43	1363	1735
44	1390	1698
45	1416	1662
46	1433	1616
47	1460	1581
48	1487	1547
49	1513	1513
50	1539	1479
51	1567	1446
52	1593	1413
53	1619	1379
54	1645	1346
55	1672	1313
56	1699	1282
57	1726	1250
58	1752	1217
59	1778	1185
60	1805	1154
61	1831	1122
62	1858	1091
63	1884	1059
64	1912	1029
65	1938	998
66	1965	968
67	1997	940
68	2024	909
69	2051	879
70	2078	848
71	2105	818
72	2132	788
73	2163	760
74	2193	731
75	2224	702
76	2253	672
77	2281	643
78	2312	614
79	2342	585
80	2372	556
81	2403	527
82	2432	498
83	2463	469
84	2491	439
85	2520	410
86	2549	380
87	2576	351
88	2606	322
89	2634	292
90	2662	263
91	2689	233
92	2718	204
93	2748	175
94	2777	146
95	2806	116
96	2871	88
97	2899	59
98	2931	29
99	2958	0
